Entité,Type d'entité,Fréquence
"ABREVIATIONS
A",ORG,1
post-doctorant,MISC,1
Laboratoire de Recherche Régionale,PER,1
"Lille III
",LOC,1
Francis Eco CLERSE MC,PER,1
Jean Pierre Géo L.G.H. MC Lillel,PER,1
Philippe Eco,PER,1
"MC Lille III
BRUYELLE",PER,1
Emmanuel Hist,PER,1
Frédérico Œ'O LARU,MISC,1
Jean Pierre Gestion URA,PER,1
DECHARNE,LOC,1
Marie Noëlle,PER,1
Etienne Hist,PER,1
"Lille III
DELAUNAY",LOC,1
Socio CL,MISC,1
Alain Gest,PER,1
URA 936 PR,MISC,1
DEWAILL Y Jean Marie Œ'O LGH MC Lille,ORG,1
Serge Eco,PER,1
Jean Marie Socio,PER,1
Rachid Eco CLERSE,PER,1
GA YOT,MISC,1
Gérard Hist,PER,1
"MC Lille III
GERTH",PER,1
Klaus Germ,PER,1
CRAC MC Valenciennes,MISC,1
Odette Hist,PER,1
Frédéric Eco CLERSE MC Lille 1,PER,1
Jean Pierre Hist,PER,1
LGH MC,MISC,1
Michel Sc,PER,1
Françoise Géo LGH PR,PER,1
Gérard Sc,PER,1
Bernard Hist,PER,1
"Lille III
MOULAERT",LOC,1
RAHMANJA,ORG,1
Jean Pierre Géo LGH MC Lillcl,PER,1
SYSSAU,ORG,1
Jean Louis Gestion URA,PER,1
MC Valenciennes,PER,1
Pierre Jean Géo LGH PR,PER,1
Jérôme Germ,PER,1
CRAC PR Valenciennes,ORG,1
Robert Hist,PER,1
"MC Lille III
VA",PER,1
Jean Géo LGH MC Lillcl,PER,1
WA LLON-LEDUCQ,LOC,1
Christian Marie Sc,PER,1
Francis Ero,PER,1
Bernard Socio,PER,1
RU,ORG,1
ION CR,ORG,1
CORNUEL Didier Ero CEPE,MISC,1
CLERSE DR,ORG,1
François Ero,PER,1
Roland Socio,PER,1
MASSON Pierre,ORG,1
THIBAULT,MISC,1
Nicole Ero,PER,1
Francis Socio,PER,1
Guy Ero,PER,1
LGH BDI,MISC,1
KAPUST A jean-Claude,LOC,1
CRAPS BOl,ORG,1
"Dl
BILLIET",MISC,1
Faïz Eco,PER,1
28/06/91,ORG,1
OjELLAL,MISC,1
YS,ORG,1
TRELCA,MISC,1
CRESSON,PER,1
Geneviève Socio,PER,1
Didier Socio,PER,1
Sylvie Socio,PER,1
Véronique Socio,PER,1
VA NDENBOSCHE,MISC,1
Christophe Gestion,PER,1
Kokou Gestion URA,LOC,1
POUCHAIN Pierre,ORG,1
"SOMMAIRE
PaJe",LOC,1
IFRESI Fédération,ORG,1
Programme Scientifique 3,MISC,1
Activités et Développement,MISC,1
"Espaces 7
1.4 Institutions",MISC,1
VIlle,MISC,1
Rapports Sociaux,ORG,1
Politiques Publiques 10,MISC,1
Dynamique des Populations,ORG,1
Territoires 10,MISC,1
"Exclusion, Représentations et Mobilisations 11
2.3 les Politiques Publiques",MISC,1
Ville 12,LOC,1
Danièle Monseur,PER,1
Internationales:,MISC,1
Cécile Soudan,PER,1
Universités du,LOC,1
Impulsions,LOC,1
"Ecole
Doctorale",ORG,1
Humaines,PER,1
Allocataires de Recherche,ORG,1
Boursiers Docteurs-Ingénieurs,ORG,1
Attachés,PER,1
Direction de la Recherche et des Etudes Doctorales,ORG,1
"Conseil Régional du Nord-Pas-de
Calais",LOC,1
STRUCTURE INSTITUTIONNELLE,ORG,1
"Etablissements
d'Enseignement Supérieur",MISC,1
Institut fédératif,ORG,1
RATTACHEMENT,ORG,1
Université de Lille 11 C.N.R.S. Sociologie,LOC,1
Laboratoire de Fédération,PER,1
"Sociologie
",MISC,1
Centre Lillois,PER,1
11 C.N.R.S.,MISC,1
"Recherche sur l'Evolution des gestion
Entreprises",MISC,1
Centre de Recherches,ORG,1
"Sciences
Administratives",ORG,1
"Politiques et juridiques
",MISC,1
Humaine,PER,1
Centre d'Histoire de la Région du,ORG,1
"Sciences
l'Allemagne Contemporaine sociales
",ORG,1
Politique Européennes,ORG,1
"Université de Lille 1
",ORG,1
L'Equipe Gestion de l'Innovation de l',MISC,1
ENIC GIE,ORG,1
Ecole Centrale de Lille,ORG,1
"Locansation des Activités et Développement des Espaces
* Institutions",MISC,1
F.Gallouj,MISC,1
E.Hégo,ORG,1
F.Jany-Catrice,PER,1
T.Ribault,ORG,1
"Ministère de la
Recherche et de la",ORG,1
Technologie co-animé,ORG,1
J.Gadrey,LOC,1
E.Tramcourt,LOC,1
Z.Boukabous,ORG,1
H.Cunin,ORG,1
M.Delpierre,LOC,1
C.Everaere,LOC,1
G.Fievet,LOC,1
D.Sagot-Duvauroux,MISC,1
M.Lemattre,LOC,1
A.Miraoui,LOC,1
A.Desreumaux,ORG,1
J.P.Debourse,PER,1
A.Abiassi,LOC,1
M.Belanger,LOC,1
G.Dokou,LOC,1
B.Dervaux,PER,1
Instituts Universitaires de Formation des Maîtres,ORG,1
P.Mauny,ORG,1
M.Sueur,LOC,1
D.Duprez,PER,1
R.Delacroix,LOC,1
F.Stankiewicz,PER,1
F.Stankiewicz,ORG,1
M.Dunat,LOC,1
F.Mallet,LOC,1
C.Pays,LOC,1
M.H.Trelcat,LOC,1
P.Masson,PER,1
Z.Zeroulou,LOC,1
P.Debaisieux,LOC,1
L.Dernailly,LOC,1
B.Monfroy,LOC,1
P.Roquet,LOC,1
Initiale,MISC,1
J.M.Duprez,LOC,1
N.Gadrey,ORG,1
F.Gugenheim,LOC,1
F.Dumont,LOC,1
J.Thibaut,LOC,1
Cf supra,LOC,1
LOCALISATION DES,MISC,1
DEVELOPPEMENT DES,ORG,1
F.Martinelli,LOC,1
F.Cunat,MISC,1
B.Thomas,LOC,1
A.Barré,LOC,1
M.Battiau,LOC,1
J.P.Bondue,LOC,1
J.M.Dewailly,LOC,1
C.Gachelin,LOC,1
A.Gamblin,LOC,1
O.Paris,LOC,1
J.P.Renard,LOC,1
F.Marchand,LOC,1
C.Le Méné,PER,1
F.Moulaert,LOC,1
C.Gallouj,LOC,1
A.Thuru,LOC,1
C.Le Méné,MISC,1
H.Krifa,LOC,1
F.Millequant,PER,1
G.Joignaux,ORG,1
L.Leontidou,PER,1
J.C.Delvainquière,PER,1
B.Ménager,LOC,1
MARCHES,ORG,1
Entrepreneurs,LOC,1
P.Minard,ORG,1
D.Terrier,ORG,1
E.Dubois,ORG,1
F.Giard,ORG,1
O.Hardy,LOC,1
R.Trempé,ORG,1
B.Dupont,ORG,1
A.Rys,ORG,1
L'Intervention économique publique,ORG,1
G.Marcou,ORG,1
G.Marcou,LOC,1
N.Burgi,LOC,1
Mme Thatcher,PER,1
crise de l'Etat contemporain,MISC,1
VILLE,ORG,1
B.Kostrubiec,LOC,1
J.P.Renard,PER,1
J.F.Ghékière,LOC,1
S.Duhamel,LOC,1
J.C.Kapusta,LOC,1
C.Lahoute,LOC,1
O.Lacoste,ORG,1
J.P.Momont,LOC,1
F.O.Seys,LOC,1
Démographie et Espace,MISC,1
Insertion des Immigrés,ORG,1
Z.Zéroulou,LOC,1
DG V C1,ORG,1
B.Courault,ORG,1
V.Vermelle,LOC,1
C.Baichère,LOC,1
H.Cukrowicz,LOC,1
B.Duriez,PER,1
G.Cresson,ORG,1
N.Bastin,LOC,1
J.Tyberghein,ORG,1
B.Lefebvre,LOC,1
M.Vervaeke,LOC,1
D.Cornuel,LOC,1
B.Ménager,PER,1
F.Calcoen,ORG,1
L.Aubrée,LOC,1
J.Vaillant,LOC,1
K.Gehrt,LOC,1
Besson,PER,1
H.Desbois,LOC,1
Impliquées,LOC,1
K.Friser,LOC,1
E.Paillart,ORG,1
C.Lamarche,LOC,1
Janvier 1990,MISC,1
p.11-26,LOC,1
Jean-François Lae,PER,1
Travail social et pauvreté,MISC,1
Téléports et dynamique régionale,MISC,1
Dervaux Benoît,PER,1
"Data
Enveloppment Analysis",MISC,1
Journées de Micro-économie Appliquée,MISC,1
Milléquant François,PER,1
Taux,LOC,1
"Etats
",LOC,1
Sociologie Rurales,PER,1
Facultés contributives des exploitations agricoles,ORG,1
Revue Française de Finances Publiques,MISC,1
La Communauté Urbaine de Lille,MISC,1
"Espaces-Populations
Sociétés",ORG,1
Noëlle,LOC,1
L'état britannique,MISC,1
Lannoy M.,PER,1
Robert V.,PER,1
Sharma M.A.,MISC,1
Cahiers du CUEEP,MISC,1
Vermelle Marie-Christine,PER,1
"Education
Permanente",PER,1
Phil,PER,1
Frank,LOC,1
Weinstein Olivier,PER,1
Wells Peter,PER,1
"Computers and Communication
Industries in France and Great-Britain",ORG,1
University Collage London Press,ORG,1
Duprez Jean-Marie,PER,1
"Revue
Migrants-formation",PER,1
Cunat Federico,PER,1
J.C. Pradeilles,PER,1
N. Rousier,PER,1
I'Euroc,PER,1
un',ORG,1
Projetto Metropolitano,PER,1
Fiere di Balogna,LOC,1
The changing geography of,MISC,1
Trigone Cuepp,PER,1
Ulla 1,ORG,1
Direction Générale XXIII,ORG,1
Belanger Monique,PER,1
Hoflack J.,PER,1
"Encyclopédie de Gestion
de Projets",MISC,1
P. Beaulieu,PER,1
Edit,LOC,1
Parution,MISC,1
"P.U.O.
-Delaunay",MISC,1
Revue Polftiques,PER,1
Le cof/ège: crise,MISC,1
"PUL
",LOC,1
Oemailly Lise,LOC,1
Elias,PER,1
Pour changer le collège,MISC,1
Lille CRDP,ORG,1
"Sociologie du travail
",MISC,1
Radioscopie,LOC,1
Syros-Alternative,LOC,1
Demazière Didier,PER,1
Vermelle Véronique,PER,1
Mission Interministérielle Recherche Expérimentation,MISC,1
Benoit et alii,MISC,1
Dervaux Benoit,PER,1
Eeckhoudt Louis,PER,1
Lebrun Thérèse,PER,1
Sailly Jean-Claude,PER,1
Revue d'Epidémiologie,MISC,1
Santé Publique,LOC,1
Desbois Hélène,PER,1
Association pour l'Etude de l'Histoire de la Sécurité Sociale,ORG,1
Colloque sur l'Histoire de la Sécurité Sociale,MISC,1
Actes du 115ème congrès de Sociétés Savantes,MISC,1
-Dewailly J.M.,PER,1
Masson,LOC,1
Collection Géographie,LOC,1
Daniels,LOC,1
The Geography of,MISC,1
London Belhaven,PER,1
Cooke,MISC,1
"Innovation and Spatial
development",ORG,1
Thumerelle Pierre-Jean,PER,1
Rys Arnaud,PER,1
Introduction à la microéconomie,MISC,1
prez Dominique,LOC,1
Hedli Mahieddine,PER,1
Lamarche Colette,PER,1
Grelon André,PER,1
Marry Catherine,PER,1
Levasseur R.,PER,1
De fa sociabilité,MISC,1
Jacques,PER,1
Pinçon Michel,PER,1
Pinçon-Charlot Monique,MISC,1
France•,LOC,1
janv-mars,PER,1
"Direction
Régionale du Travail",ORG,1
Symposium-,MISC,1
Colloque Formation-Travail,ORG,1
Orford,LOC,1
Verdier Eric,ORG,1
"5e
Journées de Sociologie du Travail",ORG,1
O. Segrestin,PER,1
"L'emploi, l'entreprise",MISC,1
rey Jean,PER,1
Repères,PER,1
Tordoir Peter,PER,1
Mc Graw Hill,LOC,1
Noyelle Thierry,PER,1
Stanback Thomas,PER,1
The Provider-Customer Interface in Business and Professional services,ORG,1
Conférence internationale sur le management des services,MISC,1
Wharton School,ORG,1
"Revue
trimestrielle du ressort de la cour d'appel de Versailles",MISC,1
Vaudois Jean,PER,1
Professeur J. Bonnamour,PER,1
Fontenay-Saint Cloud,LOC,1
Patrice,PER,1
Dumont Frédéric,PER,1
Vanhoenacker Olivier,MISC,1
"j189 p.
",PER,1
Un peuple en son pays,MISC,1
Editions Miroirs,LOC,1
Héran Frédéric,PER,1
Capdevielle Philippe,PER,1
Politanski Pascal,PER,1
Hirsch Jean-Pierre,PER,1
Ecole des Hautes,ORG,1
"L'Harmattan
- Jessenne Jean-Pierre",MISC,1
"Commission
Départementale d'Histoire",ORG,1
Archéologie,PER,1
Kostrubiec Benjamin,PER,1
Communication pour le Colloque UGI,MISC,1
Polonais,MISC,1
"Te""es du Nord",LOC,1
Eckart,MISC,1
A. Percheron,PER,1
O. Tartakowski,PER,1
"Charte du
Travail",LOC,1
Mouvement Social,ORG,1
Méridiens-Kiincksieck-A.Colin,PER,1
Vichy,MISC,1
Revue du Nord-Histoire et Archéologie,MISC,1
Kuhnmunch Annick,LOC,1
Deswartes M.,PER,1
Presses Universitaires de lille,PER,1
Caractéristiques,LOC,1
OPA,MISC,1
Krifa Hadjila,PER,1
Congrès de I'ASDRLF,MISC,1
Revue Géographie sociale,MISC,1
Les Cahiers de 1'/SMEA,MISC,1
"Sciences
de Gestion",ORG,1
"17,avril",MISC,1
Le tunnel sous la Manche,MISC,1
International Conference,LOC,1
"Aix en
Provence",MISC,1
Masson Pierre,PER,1
lebrun Rémi,PER,1
Zeroulou Zaihïa,PER,1
Roubaix-Torucoing,LOC,1
Rapport lfresi-Pirttem,MISC,1
Ministère de l'Economie,ORG,1
Imprimerie Nationale,ORG,1
- Mou,LOC,1
Bruyelle Pierre,ORG,1
Thuru A.,PER,1
Chikhaoui Y.,PER,1
The location of Information,MISC,1
"Firms in
Francew",MISC,1
Consultancy Rrms,MISC,1
Economies of Agglomeration from,ORG,1
Area Perspective,PER,1
World Conference,MISC,1
Leontidou L. et alii,PER,1
areas,PER,1
Lille-Athènes,LOC,1
wDynamique,MISC,1
Revue Hommes,PER,1
Kentw,LOC,1
Ribault Thierry,PER,1
wDes,MISC,1
A Jour,LOC,1
D. Segrestin,PER,1
Revue d'Economie Politique,PER,1
Buisine Luc,PER,1
Tools for analysis and forecasting of public service and reduction under,MISC,1
Publications des Nations-Unies,ORG,1
Foudi Rachid,PER,1
Trelcat Marie-Hélène,PER,1
"Revue des
Sciences de la Société",MISC,1
Les cahiers du,MISC,1
LERASS,ORG,1
Sueur Michel,PER,1
Cadet Jean-Paul,PER,1
Gamelin-Caron Anne,PER,1
Paillart-Jacquier Emmanuelle,PER,1
Sollac Dunkerque,PER,1
St-Ouentinois,LOC,1
Ghékière Jean-François,PER,1
La Thiérache,MISC,1
Académie d'Agriculture,ORG,1
"Ecole Nationale des Industries
Agricoles",ORG,1
LXXII,LOC,1
Zaïhia,PER,1
Abou Sada Georges,LOC,1
Courault Bruno,PER,1
L'immigration,MISC,1
CIEMI,ORG,1
CENTRE NATIONAL,ORG,1
TIF,ORG,1
CENTRE NATIONAL DE,ORG,1
"Formations constitutives
",ORG,1
Centre Lillois de Recherches Sociologiques,PER,1
UniversitE,LOC,1
Econoaiques,LOC,1
Centre de Recherches Adainistratives,ORG,1
UA gs2,ORG,1
l1Alleaagne conteoporaine,MISC,1
Econoaie de la Firae,LOC,1
Vie des Firaes,MISC,1
UA g35,MISC,1
"pEriode
Croissance",MISC,1
Développeaent,LOC,1
"France
Laboratoire",ORG,1
FEdération,MISC,1
"Polytechnique de
Sociales",LOC,1
••••••••••••••••••••••••.•• p. 9,MISC,1
"•.••.•.• p.l4
2",ORG,1
ENTREPRISE ••,ORG,1
l. Flexibilité,LOC,1
PLURIDIMENSIONNELLE,ORG,1
DEUX BASSINS D'EMPLOI ••,ORG,1
S. POLITIQUES,PER,1
POLITIQUE DE RECESSION,ORG,1
MUTATIONS SOCIO,ORG,1
CALAIS ••.•,MISC,1
INGENIEURS .•,ORG,1
LIAISC>N FIXE TRANSMANCHE ••.,MISC,1
"- 3 -
",LOC,1
P R É S E N T A T I,LOC,1
sQit,MISC,1
lR sigle,MISC,1
étude~,LOC,1
séminaire Mutations,LOC,1
Analyses Economiques,MISC,1
Sociolo,PER,1
Production de la formation,ORG,1
"C.N.R.S.
Objet",ORG,1
CAD-CFAO,ORG,1
P.M.E.,PER,1
P.M.E. elles-mêmes,MISC,1
Réseau financé,ORG,1
Nord-Pas de Calais,PER,1
"Ministère de la Recherche et l'Agence pour le Développement de
l'Informatique",ORG,1
"Université des Sciences et
Techniques de Lille",ORG,1
"Université de Valenciennes-Hainaut
Cambrésis",ORG,1
I.C.A.M.,LOC,1
D.R.I.R.,MISC,1
Direction Régionale de l'Industrie,ORG,1
D.R.R.T.,PER,1
Délégué,LOC,1
"Agence pour le Développement de
la Productique appliquée à l'Industrie",ORG,1
Française de Mécanique,MISC,1
Maison des Entreprises,LOC,1
Techno,MISC,1
Nouvelles,MISC,1
GPAO,MISC,1
Seront,LOC,1
P.M.E. de la région Nord-Pas,MISC,1
"Calendrier
",MISC,1
Réseau Régional,ORG,1
Coopération avec les laboratoires concernés,ORG,1
I.C.A.M.,ORG,1
U.A.,LOC,1
"Université de Valenciennes)
Coopération",ORG,1
Yves BOUCHUT,PER,1
Michel BERRY,PER,1
"Centre de Recherche
en Gestion de l'",ORG,1
Ecole Polytechnique,ORG,1
J.P. POITOU,PER,1
"Programme Inter-disciplinaire de Recherche sur le
Travail",MISC,1
"Technologie, l'Emploi et les Modes de Vie",ORG,1
TRANSFERTS TECHNOLOGIQUES,MISC,1
Science du politique,MISC,1
Chargé de Recherche au C.N.R.S.,MISC,1
"Objectif
",PER,1
Expliciter,LOC,1
isoléP.s,MISC,1
"P.M.E. de la région Nord-Pas de
Calais",MISC,1
Poursuite,PER,1
"Sciences physiques pour
l'Ingénieur",ORG,1
S.P. I.,LOC,1
S.P.I. de la région Nord-Pas,MISC,1
Pierre VIDAL,PER,1
Christian VASSEUR,PER,1
Noël MALVACHE,PER,1
René SOENEN,PER,1
Université de Valenciennes et du Haut-Cambrésis,ORG,1
"Pôle
Productique",LOC,1
Comité du Suivi,MISC,1
"Université des Sciences et Techniques
de Lille",ORG,1
"Ecole Nationale Supérieure des
Techniques Industrielles",ORG,1
Mines de Douai,LOC,1
ANALYSE COMPARATIVE,MISC,1
"DËVELOPPEMENT ET DE
",MISC,1
INDUSTRIES À HAUTE,PER,1
Professeurs,ORG,1
dévelop,PER,1
P.M.E. marquée,MISC,1
Grande-Bretagn~,LOC,1
Méthode = analyse de sources statistiques,MISC,1
Méthode=,MISC,1
"Calendrier
Recherche sur deux ans",ORG,1
Septembre 1986,MISC,1
I.F.R.E.S.I.,ORG,1
J. DYCK!~,PER,1
SWYNGEDOUW,ORG,1
Université du Pays de Galles - CARDIFF,ORG,1
MORGAN,ORG,1
Université du Sussex- BRIGHTON,ORG,1
"Université du Pays de Galles
",ORG,1
"Université du Sussex
",LOC,1
Commission mixte,ORG,1
OUVRIERS,MISC,1
QUALIFIES,MISC,1
"ENTREPRISE
L.A.S.T.R.E.E.",ORG,1
Inversement,ORG,1
P.M.E./P.M.I.,LOC,1
P.M.I.,MISC,1
"Programme
Mobilisateur",ORG,1
"Ministère de la Recherche et de la Technologie.
Collaborations",ORG,1
Centres Interrégionaux Associés,MISC,1
I.R.E.P.-Développement,ORG,1
B.E.T.A.,LOC,1
C.L.E.R.S.E.,LOC,1
"Programme
Productique",ORG,1
Agence pour le développement de la production automatisée,ORG,1
Economique du Nord,LOC,1
"ENTREPRISE
Recherche comparative internationale
",ORG,1
Participants 5 équipes françaises,MISC,1
Responsable ~~Ei2l2Bi~·,MISC,1
"Conférences
",PER,1
"Sociologue
-S. ENGRAND",MISC,1
"Sociologue
",MISC,1
Assistante Sciences de l'Education,ORG,1
"Sciences de l'Education
",ORG,1
Responsable ~E2~~mi~,MISC,1
Chargé de Recherche C.N.R.S.,MISC,1
Chargé d'Etudes,MISC,1
"Economiste
-P.",MISC,1
Responsable ~Ei~~E~-~~-Q~!!i2~•,MISC,1
Science de Gestion,ORG,1
Assistante,LOC,1
I.S.F. de Munich,PER,1
Sociologue,MISC,1
Mirella GIANNINI,ORG,1
Programme P.I.R.T.T.E.M.,ORG,1
"Inter
nationales
*
",ORG,1
Financements étrangers,ORG,1
R.F.A.,MISC,1
Ministère Fédéral de l'Education,ORG,1
Centre National de la Recherche,ORG,1
Sigles,LOC,1
G.R.E.E. -Groupe de Recherche sur l'Education et l'Emploi,MISC,1
Institut d'Administration des Entreprises,ORG,1
Institut Catholique des Hautes Etudes,ORG,1
Institut de Recherche Economique,ORG,1
Sozialwissenschaftliche Forschung,PER,1
Laboratoire de Sociologie,PER,1
Interdisciplinaire de Recherche sur Technologies,PER,1
Modes de vie,PER,1
"RESTRUCTURATIONS
L.A.S.T.",ORG,1
LILLE I,ORG,1
"Opération
Incertitude",MISC,1
Stratégies d'adaptation des firmes,MISC,1
Centre Inter-Régional,LOC,1
L.A.S.T.,MISC,1
Chargés,LOC,1
Gabriel MEGANCK,PER,1
suscep,LOC,1
Calendrier,LOC,1
C.I.A. du C.E.R.E.Q. de Lille,MISC,1
"C.L.E.R.S.E.
Objectifs",ORG,1
UA CNRS,ORG,1
LASTRE-CLERSE,ORG,1
Professeur de Finance,PER,1
CRES GE,MISC,1
L~ORES,MISC,1
P.M.E. indépendante,MISC,1
P.M.E. traditionnelle,MISC,1
FURUBOTN,ORG,1
MONISSEN,ORG,1
PEJOVICH .••,ORG,1
ALCHIAN,ORG,1
DEMSETZ,ORG,1
FAMA,ORG,1
JENSEN,ORG,1
MECKLING,ORG,1
TALMOR,MISC,1
JOHN,MISC,1
KALAY,ORG,1
SMITH,ORG,1
WARNER,ORG,1
BAUMOL,ORG,1
MARRIS,MISC,1
BRETON,ORG,1
WINTROBE,ORG,1
vérifi,MISC,1
Center for Operation Research and,ORG,1
Schéma,LOC,1
DIMENSIONNELLE,ORG,1
O.M.I.N.O.R.,MISC,1
Chargé de Recherche,ORG,1
Professeur agrégé,PER,1
MANGIN,ORG,1
Ingénieur CNRS,ORG,1
"Chargé de Recherche
CNRS",MISC,1
A. DUBUS,PER,1
Sciences de l'Education,ORG,1
Lilleiii,PER,1
Maître-Assistant,MISC,1
Mathématiques,LOC,1
OBJET_DU PROGRAMME,PER,1
organi~,LOC,1
C. COPPIETTERS,ORG,1
R. FOUOI,ORG,1
N. VANEECLOO,PER,1
Calaiset,LOC,1
1) - Bien,LOC,1
"Objectifs
Traditionnellement",PER,1
a•1,LOC,1
Principes,PER,1
femme~,LOC,1
C.D.D.,LOC,1
homme~,LOC,1
"Algérie 60""",MISC,1
De Minuit,MISC,1
Stabilité + Stabilité,ORG,1
"H
Stabilité +",LOC,1
Salaire,ORG,1
M Stabilité-,ORG,1
O.H.Q.,LOC,1
C.A.P.,MISC,1
Trois Suisses,LOC,1
nes,MISC,1
University of Lancaster,ORG,1
"University of Edinburgh
",ORG,1
Institute for the,ORG,1
Aberdeen,LOC,1
POLITIQUE DE RECESSION CHARBONNIERE,ORG,1
"Maître de Conférences de Science Politique
Noëlle BURGI",PER,1
Science du Politique,ORG,1
Denis TABARNOUST,PER,1
A compter d'Octobre 1984,LOC,1
"C.N.R.S. ""Politiques gouvernementales",ORG,1
A.T .P.,ORG,1
Entreprises publiques,MISC,1
A.T.P.,LOC,1
Commission de Vérification,ORG,1
Cour,ORG,1
Comptes,ORG,1
"bassin minier du Nord-Pas de
Calais",LOC,1
"CNRS/
Fédération",ORG,1
Sciences Economiquès,ORG,1
CRESGE-LABORES,ORG,1
O.C.D.E.,MISC,1
Province wallonne,LOC,1
Région Rh8ne-Alpes,LOC,1
Province flamande,LOC,1
NAPlOO,MISC,1
INS,ORG,1
EUROSTAT,ORG,1
Schéma Directeur,MISC,1
COMPAREE DES,MISC,1
ETATS-UNIS,LOC,1
"Université
de Lille I",ORG,1
CENTRE EUROPEEN,ORG,1
Chercheur 3ème cycle,MISC,1
Research Fellow,ORG,1
Université Johns Hopkins,ORG,1
Le Centre,ORG,1
Européen Johns,ORG,1
"Université
Johns Hopkins",ORG,1
Directeur-adjoint,MISC,1
Université Johns,ORG,1
Centre Euro,ORG,1
inter-,ORG,1
FMI,ORG,1
Etats,PER,1
NOYELLE,LOC,1
E. SCHOENBERGER,ORG,1
J. Hopkins,PER,1
Etapes 1,LOC,1
Phase finale,MISC,1
Projet International,ORG,1
Centre Européen Johns Hopkins,ORG,1
Piet COPPIETERS,PER,1
USFIA,MISC,1
Senior Research Fellow,ORG,1
Comité Scientifique : Commissariat Général,MISC,1
Bernard FLEURY,PER,1
Programme FAST,ORG,1
Monsieur Sven,MISC,1
ILLERIS,ORG,1
EEC,ORG,1
Economisch Geografisch Instituut,PER,1
Yan LAMBOOY,PER,1
Groep Beleistudies,MISC,1
Informatie,MISC,1
W.C.L. ZEGVELD,PER,1
THEORIES,MISC,1
Centre Euro,LOC,1
France septentrionale,ORG,1
Benelux,ORG,1
"Opêration de recherche internationale
engagêe",ORG,1
Noms,LOC,1
-Pierre-Jean THUMERELLE,LOC,1
"Maitre de Conférences
",PER,1
ORGANISMES,ORG,1
"Université de Paris I.
Groupe GUEPES",ORG,1
"Université Libre de Bruxelles
",LOC,1
Christian VANDERMOTTEN,PER,1
"Chargé de cours
",MISC,1
Chercheur FNRS,ORG,1
"Démographie de l'Université Catholique de Louvain
",MISC,1
"Chercheur FNRS
",ORG,1
"Première assistante
",MISC,1
"University of Durham
",ORG,1
Vice-pro-chancellor,MISC,1
"Laboratoire de Géographie Humaine de Lille I.
Problématique de la recherche
",LOC,1
Un ensemble de changements,MISC,1
"Séminaire
européen",LOC,1
Réflexion épistémologique,ORG,1
"Recherche des causalités et des interrelations entre les mutations des
populations",MISC,1
Principales,LOC,1
Prise,PER,1
Ambassade de France,LOC,1
Department of,ORG,1
"Programme
d'Etude CEE",ORG,1
Equipe de recherche,ORG,1
P~RIODE,LOC,1
Nom,LOC,1
"Lille III
Albert BRODER",PER,1
"Lille I
Marcel",PER,1
"Lille III
2",LOC,1
Unités CNRS,ORG,1
Vie des Firmes,MISC,1
"J.P. DEBOURSE
",MISC,1
Directeur : A. BRODER,MISC,1
"UA 1020
",ORG,1
ROSSEL,MISC,1
"UA 936
",MISC,1
"UA 936
",LOC,1
"UA 936
Joël BAFCOP",MISC,1
"UA 936
Sandra MURAD",LOC,1
Nicole BAYEN,PER,1
"UA 936
Pascale BRENET",ORG,1
fondir,LOC,1
Far,PER,1
Unité Associée,ORG,1
Lorrain,LOC,1
Lancashire,LOC,1
distinctes}.,LOC,1
histoire de la Redoute,ORG,1
"Fourmies
",ORG,1
"Brasseries
",ORG,1
"Calendrier
Septembre 1986 Lancement du centre",MISC,1
"Lancement du Bulletin
Janvier",PER,1
Mai 1987,MISC,1
Première,MISC,1
"Archives
Municipales de Tourcoing",ORG,1
Centre historique minier de Lewarde,LOC,1
Ecomusée,LOC,1
Monde du Travail,ORG,1
Motte-Bossut,LOC,1
CISE,ORG,1
CIRSH,ORG,1
"Jecquier)
Financements",LOC,1
"Equipes françaises
",ORG,1
LILLE III,LOC,1
"Alain de GENNES
",PER,1
Annie TERRIER,ORG,1
"Université de Lancaster
",ORG,1
"Musée des Sciences et Techniques de La Villette
",LOC,1
Robert FOX,PER,1
"Anna GUAGNANI
Origine",PER,1
Buts,MISC,1
"- 83 -
- susciter",LOC,1
Population,LOC,1
Loi du 10 Juillet 1934,MISC,1
Commission des Titres d'Ingénieurs,ORG,1
Loi de 1934,MISC,1
Données,LOC,1
Bibliographie sur les ingénieurs,MISC,1
Bibliothèque des Ingénieurs Civils de France,ORG,1
Le Centre National de la Recherche Scientifique,ORG,1
Laboratoires Propres,ORG,1
Centre de Recherches Inter-disci,ORG,1
Transformations Sociales,MISC,1
"Institut d'Histoire du
Temps Présent",ORG,1
Labora,LOC,1
"Groupe de Sociologie
du Travail",ORG,1
Laboratoire d'Analyses Secondaires,PER,1
"Méthodes
Appliquées",PER,1
Ecole des Hautes Etudes,ORG,1
"Centre de Recherche
et d'Histoire des Sciences et Techniques",ORG,1
"Groupe d'Etudes et
Recherches",ORG,1
Université Paris X,ORG,1
Groupe d'Etudes et Recherches,ORG,1
"Science
de l'Université Louis Pasteur de Strasbourg •••",ORG,1
Centre d'Etudes et Recherches,LOC,1
La Fondation Nationale des Sciences Politiques,MISC,1
"Le Musée des Sciences, des Techniques",MISC,1
Industries de la Villette,ORG,1
Centre de Recherche Travail,ORG,1
Société de l',ORG,1
Ecole Nationale des Ponts & Chaussées,ORG,1
